#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: DDiscovery
#Serial Number: SN:210321B565AC
#Date Time: 2024-03-17 21:23:40.612.472.220
#Sample rate: 29994Hz
#Samples: 30000

Time (s),SPI MOSI,SPI MISO
-0.27725544,h00,h00
-0.2772221,h00,h00
-0.27718876,h00,h00
-0.27715542,h00,h00
-0.27712208,h00,h00
-0.27708874,h00,h00
-0.2770554,h00,h00
-0.27702206,h00,h00
-0.27698872,h00,h00
-0.27695538,h00,h00
-0.27692204,h00,h00
-0.2768887,h00,h00
-0.27685536,h00,h00
-0.27682202,h00,h00
-0.27678868,h00,h00
-0.27675534,h00,h00
-0.276722,h00,h00
-0.27668866,h00,h00
-0.27665532,h00,h00
-0.27662198,h00,h00
-0.27658864,h00,h00
-0.2765553,h00,h00
-0.27652196,h00,h00
-0.27648862,h10,h00
-0.27645528,h10,h00
-0.27642194,h10,h00
-0.2763886,h10,h00
-0.27635526,h10,h00
-0.27632192,h10,h00
-0.27628858,h10,h00
-0.27625524,h10,h00
-0.2762219,h10,h00
-0.27618856,h10,h00
-0.27615522,h10,h00
-0.27612188,h10,h00
-0.27608854,h10,h00
-0.2760552,h10,h00
-0.27602186,h10,h00
-0.27598852,h10,h00
-0.27595518,h10,h00
-0.27592184,h10,h00
-0.2758885,h10,h00
-0.27585516,h10,h00
-0.27582182,h10,h00
-0.27578848,h10,h00
-0.27575514,h10,h00
